"Dénomination / Nom";"Début d'activité";"SIREN";"Représentants";"Adresse du siège";"Forme juridique";"Activité";"Département";"Etablissements";"Capital";"Statut"
"ROUSSEAU ET COMPAGNIE";"01/01/1948";"'612057729";"ANNE COPERY, CHRISTIAN MOUGEL, FRANCOIS ROUX-FOUILLET";"99 RUE OBERKAMPF 75011 PARIS FRANCE ";"SA à conseil d'administration";"Tôlerie, chaudronnerie, ferblanterie, serrurerie, toutes fabrications d'articles métalliques en feuilles";"'75";"70 RUE HOCHE 93170 BAGNOLET FRANCE 2 RUE RAVEL 93130 NOISY-LE-SEC FRANCE 8 RUE ORFILA 75020 PARIS FRANCE 42 CHE DU VIEUX MOULIN 77500 CHELLES FRANCE ";"38254.0";"Active"
"ETABLISSEMENTS THAUVIN ET FILS";"01/01/1948";"'649800315";"THAUVIN ANDRE";"23 RUE DE LA CHARRONNERIE 78730 SAINT-ARNOULT-EN-YVELINES FRANCE ";"Société à responsabilité limitée";"Charronage, forge, maréchalerie, construction mécanique, vente, achat, réparation de tous véhicules agricoles et industriels, mécanique générale, carrosserie, équipement, l'entreprise de menuiserie, serrurerie, charpente en bois et métallique";"'78";"";"38234.21";"Active"
"SOCIETE MAZAMETAINE BARTHAS";"01/01/1948";"'715420659";"CHRISTOPHE JEAN MARTIN BARTHAS";"65 RUE DE STRASBOURG 81200 MAZAMET FRANCE ";"Société à responsabilité limitée";"INDUSTRIE ET COMMERCE DES LAINES, CUIRS PEAUX ET MATIERES TEXTILES, DE- LAINAGE, LAVAGE ET CARBONISAGE DES LAINES A L'IMPORTATION ET A L'EXPOR- TATION";"'81";"MALCROUZET 81260 CAMBOUNES FRANCE ";"27210.0";"Active"
"ETABLISSEMENTS MAX MINE";"01/01/1948";"'355200692";"HERVE SALOMON";"210 RUE DU BEAU MARAIS 62400 BETHUNE FRANCE ";"Société par actions simplifiée";"Marchand de fer en barres en gros et au détail de matériel et fournitures pour l'industrie le bâtiment agriculture de quincaillerie en gros et au détail de dépôts divers exploitation d'un atelier de fabrication de grillage atelier de chaudronnerie de tôlerie de forge de serrurerie";"'62";"";"350000.0";"Active"
"LABORATOIRES LEHNING SA";"01/01/1948";"'358802445";"EMMANUEL DUPUIS, JULIEN FRANQUIN, ALINE THOMANN";"1 RTE DU PETIT MARAIS 57640 SAINTE-BARBE FRANCE ";"Société par actions simplifiée";"Tant en France Qu'a l'étranger toutes opérations se rattachant directement ou indirectement à l'industrie ou au commerce de Phamacie et parapharmacie, la fabrication, l'achat, la vente en gros de tous produits et toutes fabrications pharmaceutiques.";"'57";"";"1555000.0";"Active"
"CAPITAINE COOK";"01/01/1948";"'376080305";"BENOIT BESSON, SEBASTIEN ANTHONY MICKAEL LOPEZ";"ZONE DE KERANNA 29360 CLOHARS-CARNOET FRANCE ";"Société par actions simplifiée";"À) B) fabrication et vente de produits alimentaires";"'29";"DOELAN 29360 CLOHARS CARNOET FRANCE ZONE ARTISANALE DE KERGUEL 29710 PLOZEVET FRANCE ";"11318916.0";"Active"
"CUMA DE VERN D ANJOU";"01/01/1948";"'379823917";"STEPHANE BARBOT, MATTHIEU BELLOEIL, ANTHONY BUCHER, EMMANUEL COUE, JEAN MARC GEMIN, CHRISTOPHE LETEURTRE, LOUIS MARIE MERLET, MAXIME MERLET, DAVID VINCENT";"MAIRIE 49220 ERDRE-EN-ANJOU FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Mise à disposition de matériels agricoles auprès de ses adhérents";"'49";"LE BAS BLANCHE 49220 ERDRE-EN-ANJOU FRANCE ";"34090.0";"Active"
"INDIVISION DE LA ROCHEFOUCAULD";"01/01/1948";"'417650595";"";"";"Indivision entre personnes physiques";"";"'10";"";"";"Active"
"SOCIETE CIVILE LA FEUILLADE";"01/01/1948";"'394569909";"THIBAULT ARNAUD THIERRY DESMAREST, DAPHNEE LORRAINE NANCY CLAIRE DESMAREST, GUSTAVE HUBERT THIBAULT DESMAREST, OSCAR RENAUD ARNAUD PHILIPPE DESMAREST, LUCILE GERARD, LUCILE MARIE-LAURE GERARD";"15 RUE DE LA FEUILLADE 22380 SAINT-CAST-LE-GUILDO FRANCE ";"Société civile";"L'acquisition, administration, gestion par location ou autrement de tous immeubles et biens et droits immobiliers. La réfection, la rénovation, la réhabilitation d'immeubles anciens, ainsi que la réalisation de tous travaux de transformation, amélioration, installations nouvelles, conformément à leur destination. L'emprunt de tous fonds nécessaires à la réalisation de cet objet et l'octroi de toute garantie immobilières.";"'22";"";"823.0";"Active"
"INDIVIS MMES MARTIN MICHELE ET SUZANNE";"01/01/1948";"'407545151";"";"";"Indivision entre personnes physiques";"";"'75";"";"";"Active"
"FIDUCIAIRE CONSEIL GESTION & DIAGNOSTIC";"01/01/1948";"'915721583";"JACQUES GROSMANGIN";"20 A RUE  20 A rue de Turckheim 68000 Colmar FRANCE ";"Société par actions simplifiée";"Conseil et diagnostic aux Pme";"'68";"41 RTE DE NEUF BRISACH 68000 COLMAR FRANCE ";"189000.0";"Active"
"FOUASSIN";"01/01/1948";"'956200778";"ARNAUD CANIS";"2 RUE NICEPHORE NIEPCE 91420 MORANGIS FRANCE ";"Société par actions simplifiée";"Entreprise générale d électricité haute et basse tension, entreprise générale du bâtiment ""tous corps d état"", l'entretien et l exécution d'installations téléphoniques de tous genres, la recherche de personnel, l'entretien et l'exécution d installations de transmetteurs d ordres, d'alarmes, Designalisations lumineuses et sonores et pendules électriques, la télé centralisation, la création, l'acquisition, la location et la vente de tous établissements ayant trait à l'exercice de l objet social et généralement, toutes opérations commerciales, industrielles, financières, mobilières et immobilières Serattachant directement ou indirectement à l objet de la société ou à tous autres objets similaires ou connexes";"'91";"2 RUE DES PRES 91260 JUVISY-SUR-ORGE FRANCE ";"750000.0";"Active"
"FROMENT";"01/01/1948";"'956511208";"";"ZAC LA PEYROLIERE 84400 APT FRANCE ";"Société par actions simplifiée";"Fabrication de tout matériel, outillage, matériel de manutention et de levage pour industrie et travaux publics, fabrication, vente et achat de tous matériels de sécurité. Achat et vente de matériel d'entreprises et de fournitures industrielles.";"'84";"4 RUE LOUIS LACHENAL 69740 GENAS FRANCE ";"250000.0";"Active"
"SOCIETE AMIRAL EMERIAU";"01/01/1948";"'926250036";"MICHEL CHEVANCE";"21 RUE DU GENERAL LAMBERT 29270 CARHAIX-PLOUGUER FRANCE ";"Société à responsabilité limitée";"LINGERIE BONNETERIE LAYETTES CONFECTIONS DEMI GROS ET DETAIL";"'29";"";"45429.81";"Active"
"ETS FANHAN CLARET ET FILS";"01/01/1948";"'310381827";"MICHEL CLAUDE FANHAN";"LIEU DIT PINTADE 97100 BASSE-TERRE FRANCE ";"Société à responsabilité limitée";"FABRIQUE DE MATERIAUX, EBENISTERIE, MENUISERIE, VENTE DES OBJETS FABRIQUES";"'971";"";"9146.94";"Active"
"DISTILLERIE DE SAVANNA";"01/01/1948";"'310850391";"ALAIN MICHEL JOSEPH PAYET, MEDERIC ALAIN JACQUES BARAU";"2 CHE BOIS ROUGE 97440 SAINT-ANDRE FRANCE ";"SA à conseil d'administration";"Fabrication de ts produits, substances, dérives extraits de la canne à Sucre, exploitation de Ttes distilleries, commerce des alcools, dérives,achat,vente sous Ttes ses formes, consignation et warrantage exportation de ts produits,propriété,acquisition et vente de ts immeubles rattachés.";"'974";"20 RUE JULES THIREL 97460 SAINT-PAUL FRANCE ";"2600000.0";"Active"
"SEMEILLAN FRERES ET CIE";"01/01/1948";"'025620469";"";"";"5400";"";"";"CRS DU 14 JUILLET 47000 AGEN FRANCE ";"";"Active"
"GUELY";"01/01/1948";"'059502294";"FRANCOIS CLAVELIN, BRUNO GUELY, BERNARD GUELY";"FURES 38210 TULLINS FRANCE ";"Société par actions simplifiée";"Fabrication de plastiques par extrusion, impression et fabrication de sacs en plastique.";"'38";"";"160000.0";"Active"
"CONSTRUCTIONS RADIO ELECTRIQUES DU BEARN";"01/01/1948";"'096180864";"RICHARD VINCENT LUQUET";"21 RUE SAINT-PIERRE 64300 ORTHEZ FRANCE ";"Société à responsabilité limitée";"Achat,fabrication,vente en gros et détail à la commission importation exportation de tous produits chimiques et tous appareils électriques et mécaniques pour l'industrie et l'agriculture,tous appareils ménagers.";"'64";"";"30900.0";"Active"
"PORT MAREE";"01/01/1948";"'505720201";"NICOLE GERMAIN, FABRICE YANN NICOLAS MARIE, FRANCK ROGER MARCEL MARIE, ESTELLE SUZANNE MARIE, RICHARD PERROT";"2 RUE DES ALBATROS 14520 PORT-EN-BESSIN-HUPPAIN FRANCE ";"Société par actions simplifiée";"L'achat, la vente ferme ou à la commission, l'expédition en gros et demi- gros de poissons, coquillages, crustacés sous toutes leurs formes, frais, Sales, surgelés, filets, panés ou non l'achat la vente au détail de tous produits de la Mer, frais ou cuits";"'14";"IMP DES MACAREUX 14520 PORT-EN-BESSIN HUPPAIN FRANCE L EPI ABBE LEROY 14520 PORT-EN-BESSIN-HUPPAIN FRANCE 85 RUE SAINT MALO 14400 BAYEUX FRANCE ";"52000.0";"Active"
"DUBOIS COUVERTURES";"01/01/1948";"'445850308";"PIERRE BOURGUIGNON";"ZA DE L'EPINETTE 59850 NIEPPE FRANCE ";"Société par actions simplifiée";"La société a pour objet directement ou indirectement l'entreprise de couverture, zinguerie, d'étanchéité, ramonage de cheminée, sanitaire et généralement toutes opérations industrielles commerciales ou financières mobilières ou immobilières pouvant se rattacher à l'objet social";"'59";"ZI LES TROIS TILLEULS 59850 NIEPPE FRANCE ";"200000.0";"Active"
"ETABLISSEMENTS ALBERT CHARLET";"01/01/1948";"'456501105";"";"70 RUE FELIX FAURE 59350 SAINT-ANDRE-LEZ-LILLE FRANCE ";"Société par actions simplifiée";"NEGOCE DE BOIS.";"'59";"";"300000.0";"Active"
"GRAVURE MODERNE DU CENTRE";"01/01/1948";"'757501382";"LAURENT HENNEQUIN";"LE PONTEIX 87220 FEYTIAT FRANCE ";"Société à responsabilité limitée";"Achat vente fabrication et tous travaux de gravure";"'87";"";"7622.45";"Active"
"BODET SA";"01/01/1948";"'775610504";"SYLVAIN BODET, THIERRY LE GOFF, JEAN-LOUIS CLOCHARD, PASCAL BODET, JEAN-PIERRE GERARD BODET";"15 RUE ARMAND MAYER 49300 CHOLET FRANCE ";"SA à conseil d'administration";"fabrication d'horloges monumentales horloges Distribut. d'heures, de sonneries de cloches, de systèmes d'horlogerie, la fabrication, la vente, l'installations de systèmes affichage et chronométrage. animation des filiales, exercice de mandats de direction, prestation de services";"'49";"72 BD DU GENERAL DE GAULLE 49340 TREMENTINES FRANCE 113 RUE HORACE VERNET 59100 ROUBAIX FRANCE 18 B RUE DANTON 69150 DECINES CHARPIEU FRANCE 52 RUE DE LA CORDERIE 22000 SAINT-BRIEUC FRANCE 19 RTE DE BRUMATH 67550 VENDENHEIM FRANCE 180 RUE DE VAUGIRARD 75015 PARIS FRANCE AV JEAN JAURES 13170 LES PENNES-MIRABEAU FRANCE 11 BD DE L'EUROPE 21800 QUETIGNY FRANCE RUE KARUKERA 97200 FORT-DE-FRANCE FRANCE 6 RUE DE BRUXELLES 14120 MONDEVILLE FRANCE 7 LOT ROSSOLIN (SALINE) 97460 SAINT-PAUL FRANCE LA CROISETTE 54210 SAINT-NICOLAS-DE-PORT FRANCE CHE DE L'EGLISE DE LALANDE 31200 TOULOUSE FRANCE 8 RUE DE LA COURSE 33000 BORDEAUX FRANCE 7 QUARTIER BOIS NEUF 97212 SAINT-JOSEPH FRANCE 40 AV GUSTAVE EIFFEL 33600 PESSAC FRANCE 148 RES LE GRAND CANNET 97190 LE GOSIER FRANCE 40 RUE GEORGES BESSE 63100 CLERMONT-FERRAND FRANCE 4 RUE DU PARC INDUSTRIEL 31150 BRUGUIERES FRANCE 2 RUE FRANKLIN 69740 GENAS FRANCE 3 RUE DE LA CITE FONTAINE 97400 SAINT-DENIS FRANCE BD DU CORMIER 49300 CHOLET FRANCE BD DU CORMIER 49300 CHOLET FRANCE RES JARDINS CARAIBES 97170 PETIT BOURG FRANCE 3 RUE DES CHAMPS 59290 WASQUEHAL FRANCE RTE DE LA TOURLANDRY 49340 TREMENTINES FRANCE 7 IMP DES LONGS REAGES 22190 PLERIN FRANCE ZI DE MARTIGNY 37210 PARCAY-MESLAY FRANCE 1 RUE BLAISE PASCAL 86130 JAUNAY-MARIGNY FRANCE 6 CITE LES AUBEPINES 97400 SAINT DENIS FRANCE RUE DES CHAMPS 59290 WASQUEHAL FRANCE RES JARDINS CARAIBES 97170 PETIT BOURG FRANCE 13 RUE DES CHAMPS 59491 VILLENEUVE-D'ASCQ FRANCE 220 RUE FERDINAND PERRIER 69800 SAINT-PRIEST FRANCE CHE DU RUISSEAU BLANC 97417 SAINT-DENIS FRANCE 1 LOT HABITATION MAHAULT 97232 LE LAMENTIN FRANCE ";"10000000.0";"Active"
"CUMA DE PREIGNAN";"01/01/1948";"'777027475";"ANDRE ELIE EMILE FERREIRO, GERARD ALAIN PALAU";" Mairie 32810 PREIGNAN FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Coopérative d'utilisation de matériel agricole";"'32";"";"";"Active"
"SOC COOP AGRI FROMAG FRUIT NARBIEF BIZOT";"01/01/1948";"'778334318";"MICKAEL BOURNEL-BOSSON, FABIEN FAIVRE, JEAN-PIERRE MOUGIN, JEAN-LOUIS RENAUD, ALEXANDRE ROMAIN, JEAN LUC RONDOT";"15 RUE DE LA FRUITIERE 25210 NARBIEF FRANCE ";"Société coopérative agricole";"Collecte transformation conditionnement venté de lait produits laitiers et sous produits laitiers";"'25";"2 RUE DE LA FRUITIERE 25210 NARBIEF FRANCE ";"";"Active"
"MIJNO PRECISION GEARING";"01/01/1948";"'574503686";"FRANCOIS MARIE MIJNO, AULAGNON VINCENT";"17 RUE DE LA TALAUDIERE 42000 SAINT-ETIENNE FRANCE ";"Société par actions simplifiée";"pièces mécaniques la construction de toutes pièces de mécanique et plus spécialement fabrication de pignons à chaines de boîtes de vitesse et de motocyclettes roues dentees et de machines industrielles et la vente de tous objets fabriqués en France et à l'étranger la construction d'engrenages et de reducteurs de vitesse.";"'42";"";"581420.0";"Active"
"CABINET BEUGNOT";"01/01/1948";"'551880396";"JEAN-CLAUDE BEUGNOT, SEBASTIEN LAURENT BEUGNOT";"19 AV PIERRE BEREGOVOY 58000 NEVERS FRANCE ";"Société par actions simplifiée";"Toutes opérations immobilières vente achat location d'immeubles";"'58";"";"100000.0";"Active"
"ETS PROMETAL";"01/01/1948";"'552025736";"JEAN-CHARLES BOUTIN, BERTRAND DUPAYS, PHILIPPE BAIZET";"";"Société à responsabilité limitée";"";"";"  Ziac de Paron  35300 Fougères FRANCE 54 RUE DE LA PAIX 94600 CHOISY-LE-ROI FRANCE ";"15343.99";"Active"
"CHAUSSURES MAURICE SOUFFLET";"01/01/1948";"'558801155";"BERNARD Boscher, MICHELINE Dieu";"46 PL D'ARMES 59300 VALENCIENNES FRANCE ";"SA à conseil d'administration";"Chaussures-articles chaussants et de tous accessoires, tous accessoires de bonneterie et de pédicures";"'59";"28 RUE DE LA VIEILLE POISSONNERIE 59300 VALENCIENNES FRANCE 44 PL D'ARMES 59300 VALENCIENNES FRANCE 14 RUE DU QUESNOY 59300 VALENCIENNES FRANCE 7 PL DU MARCHE AUX HERBES 59300 VALENCIENNES FRANCE 16 RUE DU QUESNOY 59300 VALENCIENNES FRANCE 12 PL DE L'HOTEL DE VILLE 02100 SAINT-QUENTIN FRANCE PL ARISTIDE BRIAND 59400 CAMBRAI FRANCE 10 RUE EMILE ZOLA 02100 SAINT-QUENTIN FRANCE 12 RUE DE LA HALLE 59300 VALENCIENNES FRANCE 18 RUE DE LA PAIX 59300 VALENCIENNES FRANCE 11 RUE DU QUESNOY 59300 VALENCIENNES FRANCE ";"210000.0";"Active"
"BAILLY MONTHURY";"01/01/1948";"'572190288";"FRANCOIS Bailly-Monthury, CECILE Baraderie, LUC Richard";"14 RUE D'ANJOU 75008 PARIS FRANCE ";"Société par actions simplifiée";"L'exploitation de tout établissement industriel et commercial D'électricité";"'75";"";"39000.0";"Active"
"TANNERIE REMY CARRIAT";"01/01/1948";"'572721967";"MARIE CARRIAT";"225 RTE D'ITXASSOU 64250 ESPELETTE FRANCE ";"Société par actions simplifiée";"Tannerie, négoce de peaux et cuirs";"'64";"LIEUDIT ETCHEPAREA 64480 USTARITZ FRANCE ";"1456500.0";"Active"
"ETABLISSEMENTS PAUL PAULET";"01/01/1948";"'375880804";"ALEXIS JACQUAND, LAURENT JAMIER, PAUL REENAN";"ZONE INDUSTRIELLE DE POULDAVID 29100 DOUARNENEZ FRANCE ";"Société par actions simplifiée";"Mareyeur expéditeur de poissons, crustacés, coquillages, salaisons saurissage, import. Exportation, fabrication et vente de toutes conserves alimentaires - armement de bateaux. Armement et location de bateaux - achat et cession de bateaux";"'29";"ZI DE KERINGAN 29300 MELLAC FRANCE 89 RUE LA BOETIE 75008 PARIS FRANCE 104 AV DU PRESIDENT KENNEDY 75016 PARIS FRANCE 3 ESP DU FONCET 92130 ISSY-LES-MOULINEAUX FRANCE ";"12736220.0";"Active"
"ETABLISSEMENTS CHAGNEAU";"01/01/1948";"'335781647";"BRUNO ARCADIPANE";"RUE DE LA SODEP 51110 WARMERIVILLE FRANCE ";"Société à responsabilité limitée";"Blanc de colles pour badigeons articles de droguerie pour le batiment et l'industrie.";"'51";"9 T SAINT MARC 56380 GUER FRANCE ";"400000.0";"Active"
"MAISON POULINET";"01/01/1948";"'866800881";"EDDY SERGE EUGENE POULINET, EDDY POULINET";"29 RUE PIERRE JUBAU 44560 PAIMBOEUF FRANCE ";"Société à responsabilité limitée";"peinture, vitrerie, papiers peints. (entreprise de ...)";"'44";"";"7317.55";"Active"
"PAPETERIE DU POITOU";"01/01/1948";"'325780583";"";"21 AV DE BORDEAUX 86130 BEAUMONT SAINT-CYR FRANCE ";"Société par actions simplifiée";"Transformation et commercialisation de papier d'em ballage.";"'86";"RTE DE L'ORMEAU 86180 BUXEROLLES FRANCE ";"600000.0";"Active"
"SONIALEX";"01/01/1948";"'015752967";"MARIE-CHRISTINE MOLENAT, SONIA MORIN, ALEXANDRE MORIN";"29 C RUE DE TALANT 21000 DIJON FRANCE ";"Société civile";"La propriété, l'acquisition et la disposition de tous immeubles bâtis ou non bâtis l'administration, l'exploitation, la mise en valeur par location ou autrement de ces immeubles.";"'21";"41 RUE DE LONGVIC 21000 DIJON FRANCE ";"138000.0";"Active"
"SCEA EUGENE KLIPFEL";"01/01/1948";"'915720361";"JOSEPH ANTOINE MARTIN HELFRICH";"10 RUE DES JARDINS 67140 BARR FRANCE ";"Société civile d'exploitation agricole SCEA";"Exploitation viticole et commerce en gros de vins et de spiritueux";"'67";"6 AVENUE DU DOCTEUR MARCEL KRIEG 67140 BARR FRANCE 8 RUE DES JARDINS 67140 BARR FRANCE 23 RUE SAINTE-MARGUERITE 67680 EPFIG FRANCE ";"620000.0";"Active"
"ETABLISSEMENTS BERNARD HEUCHEL";"01/01/1948";"'945551695";"CLARA HEUCHEL, JEAN-PAUL HEUCHEL, VINCENT SUTTER";"11 RTE JOFFRE 68620 BITSCHWILLER-LES-THANN FRANCE ";"Société par actions simplifiée";"Fabrication, distribution de pièces de rechange pour machine textile, ainsi que fabrication et distribution d'isolants électriques à base de bois et de matériaux plastiques.";"'68";"";"192456.0";"Active"
"ETABLISSEMENTS G. VINCENT-GENOD";"01/01/1948";"'646650325";"JACQUES CRAEN, JACQUES MARIE FRANCOIS CRAEN";"7 PL DE L'ABBAYE 39200 SAINT-CLAUDE FRANCE ";"Société par actions simplifiée";"Fabrication, négoce de pipes, vente d'articles souvenirs, de cadeaux, d'articles de Saint Claude, de pipes, articles de fumeurs, jouets et bimbeloterie.";"'39";"13 RUE DU FAUBOURG MARCEL 39200 SAINT-CLAUDE FRANCE ";"9512.82";"Active"
"LE SOLEIL INCENDIE";"01/01/1948";"'665820155";"";"";"SA à conseil d'administration";"";"";"RUE DU VALLAT 43100 BRIOUDE FRANCE ";"";"Active"
"CHARLES LOUIS GERARD DEPREZ ET COMPAGNIE";"01/01/1948";"'672009560";"MICHEL GERARD DEPREZ, ANNIE GERARD-DEPREZ";"9 RUE SAINTE-MARIE 92400 COURBEVOIE FRANCE ";"Société en nom collectif";"Sans activité";"'92";"93 AV DE LA MARNE 92600 ASNIERES-SUR-SEINE FRANCE 6 RUE LAMBRECHTS 92400 COURBEVOIE FRANCE ";"10999.2";"Active"
"INTERNATIONAL PAPER CHALON SAS";"01/01/1948";"'725620736";"MARC JEAN GARNIER, HAKIM SERHIR";"13 RUE LOUIS JACQUES THENARD 71100 CHALON-SUR-SAONE FRANCE ";"Société par actions simplifiée";"Articles de conditionnement en carton ou autes matières";"'71";"";"4017098.0";"Active"
"SOCIETE AVIGNONNAISE IMPRESSION TISSUS";"01/01/1948";"'735680142";"JEAN-FRANCOIS VICTOR PHILIPPE MARIE BOUDIN";"5 AV DU DOCTEUR BARBERIN 13103 SAINT-ETIENNE-DU-GRES FRANCE ";"Société à responsabilité limitée";"Impressions à façon de tous tissus par tous procédés, et en particulier au cadre et à la planche - teinture et apprêt de tous tissus";"'13";"1 RUE DE TOURNON 75006 PARIS FRANCE RUE DU TRENCAT 13520 LES BAUX-DE-PROVENCE FRANCE 102 RUE PARADIS 13006 MARSEILLE FRANCE 15 RUE MARIUS REYNAUD 13100 AIX-EN-PROVENCE FRANCE 16 RUE DE LA POSTE 38000 GRENOBLE FRANCE 5 RUE DES ARTS 31000 TOULOUSE FRANCE 28 RUE DES MARCHANDS 84000 AVIGNON FRANCE 29 RUE GEORGES CLEMENCEAU 83990 SAINT-TROPEZ FRANCE 9 RUE DE LA PAIX 83000 TOULON FRANCE 2 PL DE LA MAISON CARREE 30000 NIMES FRANCE RUE DES FOURS 13520 LES BAUX-DE-PROVENCE FRANCE 8 AV DE VERDUN 06000 NICE FRANCE 7 RUE DE LA POMME 31000 TOULOUSE FRANCE 21 AV NIEL 75017 PARIS FRANCE 95 RUE DE SEINE 75006 PARIS FRANCE 4 RUE DE L'ARGENTERIE 34000 MONTPELLIER FRANCE 1 RUE DU MAIL 75002 PARIS FRANCE 56 RUE JOSEPH VERNET 84000 AVIGNON FRANCE ";"1000000.0";"Active"
"SOCIETE DE VEYRAC ET DE LALEU";"01/01/1948";"'057808412";"ROMAIN BERNARD NICOLAS DE VEYRAC, HERVE JEAN HENRI DE VEYRAC";"6 RUE SAINTE 13001 MARSEILLE FRANCE ";"Société par actions simplifiée";"opérations de courtages, de conseils, de formations en assurances et de gestion de portefeuilles et de cabinets de courtage";"'13";"";"90000.0";"Active"
